MonthNumeric,MonthFactor,Year,RAV4Sales,Unemployment,RAV4Queries,CPIAll,CPIEnergy
1,January,2011,11196,9.1,29,221.187,229.258
2,February,2011,12562,9,29,221.898,232.068
3,March,2011,16082,9,29,223.046,240.079
4,April,2011,15586,9.1,27,224.093,247.977
5,May,2011,8624,9,28,224.806,250.744
6,June,2011,9105,9.1,28,224.806,245.534
7,July,2011,8814,9,31,225.395,246.187
8,August,2011,6502,9,28,226.106,246.88
9,September,2011,7649,9,27,226.597,248.55
10,October,2011,10680,8.8,28,226.75,246.655
11,November,2011,11330,8.6,27,227.169,247.64
12,December,2011,14107,8.5,26,227.223,243.353
1,January,2012,9819,8.3,28,227.842,244.876
2,February,2012,12677,8.3,27,228.329,248.898
3,March,2012,17367,8.2,29,228.807,249.742
4,April,2012,15196,8.2,30,229.187,249.677
5,May,2012,19248,8.2,31,228.713,241.806
6,June,2012,15129,8.2,33,228.524,235.897
7,July,2012,15248,8.2,33,228.59,233.568
8,August,2012,15685,8.1,36,229.918,244.987
9,September,2012,13796,7.8,33,231.015,252.987
10,October,2012,10936,7.8,29,231.638,256.017
11,November,2012,12423,7.7,34,231.249,248.819
12,December,2012,14351,7.9,34,231.221,244.708
1,January,2013,11610,8,36,231.679,245.025
2,February,2013,13329,7.7,39,232.937,255.696
3,March,2013,16474,7.5,42,232.282,246.595
4,April,2013,18541,7.6,44,231.797,240.473
5,May,2013,20780,7.5,38,231.893,240.468
6,June,2013,20540,7.5,43,232.445,242.711
7,July,2013,19538,7.3,42,232.9,242.986
8,August,2013,23502,7.2,40,233.456,244.833
9,September,2013,15928,7.2,39,233.544,242.745
10,October,2013,17590,7.2,35,233.669,241.954
11,November,2013,19447,6.9,35,234.1,242.718
12,December,2013,20970,6.7,33,234.719,245.733
1,January,2014,16880,6.6,35,235.288,250.34
2,February,2014,16451,6.7,38,235.547,249.925
3,March,2014,19733,6.7,38,236.028,249.961
4,April,2014,18834,6.2,38,236.468,249.864
5,May,2014,23465,6.3,36,236.918,249.213
6,June,2014,21589,6.1,42,237.231,249.714
7,July,2014,26779,6.2,48,237.498,248.744
8,August,2014,35614,6.1,46,237.46,245.699
9,September,2014,22724,5.9,42,237.477,241.61
10,October,2014,21524,5.7,39,237.43,237.061
11,November,2014,21108,5.8,40,236.983,229.016
12,December,2014,22997,5.6,34,236.252,218.536
1,January,2015,19824,5.7,38,234.747,199.926
2,February,2015,21943,5.5,41,235.342,203.021
3,March,2015,25243,5.4,44,235.976,205.757
4,April,2015,22914,5.4,41,236.222,203.577
5,May,2015,28808,5.6,43,237.001,208.973
6,June,2015,24843,5.3,49,237.657,212.015
7,July,2015,26709,5.2,50,238.034,211.623
8,August,2015,30534,5.1,50,238.033,208.579
9,September,2015,27104,5,46,237.498,197.246
10,October,2015,28256,5,44,237.733,195.616
11,November,2015,27368,5.1,46,238.017,195.114
12,December,2015,31866,5,48,237.761,190.143
1,January,2016,21554,4.8,60,237.827,186.319
2,February,2016,25523,4.9,56,237.514,177.278
3,March,2016,29045,5,50,237.99,180.853
4,April,2016,30152,5.1,51,238.835,185.592
5,May,2016,32261,4.8,53,239.44,188.084
